dataset,aggregation,k,threshold,exact,approx,abs_error,rel_error,analytic_bound,bound_gap
Zipfian,min,1,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,33554432,2.3359982601921262e+19
Zipfian,max,1,16,5866719450.617691,5838471169,28248281.61769104,0.0048150046811454147,33554432,1.1878397579761411
Zipfian,var,1,16,1886253658344.1819,1874705681709.5122,11547976634.669678,0.0061221758715139553,86767243675520.578,7513.6317313827421
Zipfian,sum,2,16,250483946736.2319,249271517823,1212428913.2319031,0.0048403457747678812,19040217120,15.704192561067826
Zipfian,avg,2,16,2504.8394673623188,2492.7151782300002,12.124289132318609,0.0048403457747677129,190.4021712,15.704192561068371
Zipfian,count_gt,2,16,43335079,37390315,5944764,0.13718133524113341,6797893,1.1435093134058811
Zipfian,min,2,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,131072,91249932038754928
Zipfian,max,2,16,5866719450.617691,5866651649,67801.617691040039,1.155698994331515e-05,131072,1.9331692142991614
Zipfian,var,2,16,1886253658344.1819,1886209988834.2175,43669509.964355469,2.3151451434527668e-05,338925301095.86884,7761.1427600747329
Zipfian,sum,3,16,250483946736.2319,250467930844.79688,16015891.435028076,6.393979192564126e-05,74375848.125,4.6438781398289128
Zipfian,avg,3,16,2504.8394673623188,2504.6793084479687,0.16015891435017693,6.3939791925599816e-05,0.74375848124999999,4.6438781398319238
Zipfian,count_gt,3,16,43335079,42767940,567139,0.013087295860242923,698711,1.2319925097727364
Zipfian,min,3,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,512,356445047026386.44
Zipfian,max,3,16,5866719450.617691,5866719233,217.61769104003906,3.7093590868253753e-08,512,2.3527498961736439
Zipfian,var,3,16,1886253658344.1819,1886253479063.8401,179280.341796875,9.5045722511283778e-08,1323926816.3456848,7384.6736517587442
Zipfian,sum,4,16,250483946736.2319,250483932597.77396,14138.457946777344,5.6444567130945203e-08,290530.65673828078,20.548963531380242
Zipfian,avg,4,16,2504.8394673623188,2504.8393259777395,0.00014138457936496707,5.6444567089902109e-08,0.0029053065673828077,20.548963546322209
Zipfian,count_gt,4,16,43335079,43147517,187562,0.0043281794871078928,187590,1.0001492839701005
Zipfian,min,4,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,1.9999999999999998,1392363464946.822
Zipfian,max,4,16,5866719450.617691,5866719449,1.6176910400390625,2.7574031000728018e-10,1.9999999999999998,1.2363300225435543
Zipfian,var,4,16,1886253658344.1819,1886253657593.0371,751.144775390625,3.9822044721705437e-10,5171589.1241979208,6884.9432141872912
Zipfian,sum,5,16,250483946736.2319,250483946276.02597,460.2059326171875,1.8372671726615676e-09,1134.8853778617067,2.4660381308159645
Zipfian,avg,5,16,2504.8394673623188,2504.8394627602597,4.6020591071282979e-06,1.8372670852134179e-09,1.1348853778617067e-05,2.4660382481916434
Zipfian,count_gt,5,16,43335079,43328260,6819,0.00015735519946784914,6819,1
Zipfian,min,5,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,0.007812499999999778,5438919784.948369
Zipfian,max,5,16,5866719450.617691,5866719450.6171875,0.0005035400390625,8.5829916242114426e-14,0.007812499999999778,15.515151515151075
Zipfian,var,5,16,1886253658344.1819,1886253658342.2466,1.935302734375,1.0260034358655002e-12,20201.520016360239,10438.42891220027
Zipfian,sum,6,16,250483946736.2319,250483946734.01608,2.2158203125,8.8461569748153717e-12,4.4331459851545674,2.0006793692367904
Zipfian,avg,6,16,2504.8394673623188,2504.8394673401608,2.2158019419293851e-08,8.8460836345041298e-12,4.4331459851545673e-08,2.0006959562886086
Zipfian,count_gt,6,16,43335079,43335045,34,7.8458377795965253e-07,34,1
Zipfian,min,6,16,1.0000000000014364,1,1.4364065492600275e-12,1.4364065492579642e-12,3.0517578124777955e-05,21245780.409800589
Zipfian,max,6,16,5866719450.617691,5866719450.6176758,1.52587890625e-05,2.6009065527913462e-15,3.0517578124777955e-05,1.9999999999854481
Zipfian,var,6,16,1886253658344.1819,1886253658344.1724,0.009521484375,5.0478281820051102e-15,78.912187560085897,8287.8030832336372
Zipfian,sum,7,16,250483946736.2319,250483946736.22327,0.008636474609375,3.4479154141041624e-14,0.01731695438678571,2.0050952697745377
Zipfian,avg,7,16,2504.8394673623188,2504.8394673622329,8.5947249317541718e-11,3.4312478079901503e-14,1.731695438678571e-10,2.0148352069775131
Zipfian,count_gt,7,16,43335079,43335079,0,0,0,1
